-1,city,lat,lng,country
187,Masvingo,-20.0596,30.8200,Zimbabwe
188,Bulawayo,-20.1700,28.5800,Zimbabwe
189,Victoria Falls,-17.9296,25.8400,Zimbabwe
190,Chitungwiza,-18.0000,31.1000,Zimbabwe
191,Maqat,47.6482,53.3265,Kazakhstan
192,Zhangaozen,43.3004,52.8000,Kazakhstan
193,Taraz,42.9000,71.3650,Kazakhstan
194,Shymkent,42.3200,69.5950,Kazakhstan
195,Oral,51.2711,51.3350,Kazakhstan
196,Balqash,46.8532,74.9502,Kazakhstan
197,Zaysan,47.4752,84.8598,Kazakhstan
198,Oytal,42.9153,73.2549,Kazakhstan
199,Zholymbet,51.7502,71.7099,Kazakhstan
200,Serebryansk,49.6999,83.4249,Kazakhstan
201,Chapaev,50.1915,51.1449,Kazakhstan
202,Ridder,50.3554,83.5149,Kazakhstan
203,Zhaltyr,51.6324,69.8328,Kazakhstan
204,Atbasar,51.8219,68.3477,Kazakhstan
205,Aqsay,51.1714,53.0349,Kazakhstan
206,Shemonaikha,50.6316,81.9050,Kazakhstan
207,Atasu,48.6903,71.6499,Kazakhstan
208,Rudny,52.9527,63.1300,Kazakhstan
209,Makhambet,47.6714,51.5798,Kazakhstan
210,Fort Shevchenko,44.5171,50.2666,Kazakhstan
211,Qusmuryn,52.4580,64.6000,Kazakhstan
212,Oktyabrsk,49.4731,57.4449,Kazakhstan
213,Khromtau,50.2699,58.4500,Kazakhstan
214,Algha,49.9032,57.3350,Kazakhstan
215,Embi,48.8268,58.1442,Kazakhstan
216,Ushtobe,45.2653,77.9700,Kazakhstan
217,Burylbaytal,44.9387,74.0303,Kazakhstan
218,Zhanibek,49.4276,46.8772,Kazakhstan
219,Esil,51.9570,66.3775,Kazakhstan
220,Derzhavinsk,51.1021,66.3075,Kazakhstan
221,Saryshaghan,46.1195,73.6191,Kazakhstan
222,Turgay,49.6260,63.4990,Kazakhstan
223,Sarqan,45.4203,79.9149,Kazakhstan
224,Arqalyq,50.2418,66.8976,Kazakhstan
225,Shalqar,47.8363,59.6141,Kazakhstan
226,Shieli,44.1670,66.7500,Kazakhstan
227,Bayghanin,48.6917,55.8740,Kazakhstan
228,Zhezqazghan,47.7800,67.7700,Kazakhstan
229,Mangyshlak,43.6905,51.1417,Kazakhstan
230,Zhosaly,45.4877,64.0780,Kazakhstan
